direction,slice,function,base,test
better,coreutils::O0::ln,hash_find_entry,0.0,0.1
better,coreutils::O0::ln,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::ln,main,0.85,0.9
better,coreutils::O0::ln,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::logname,main,0.3333333333333333,0.6666666666666666
better,coreutils::O0::ls,assert_matching_dev_ino,0.25,0.5
better,coreutils::O0::ls,calculate_columns,0.7777777777777778,0.8888888888888888
better,coreutils::O0::ls,extract_dirs_from_files,0.375,0.5
better,coreutils::O0::ls,file_escape,0.5,0.75
better,coreutils::O0::ls,file_failure,0.3333333333333333,0.6666666666666666
better,coreutils::O0::ls,get_color_indicator,0.5,0.6
better,coreutils::O0::ls,get_link_name,0.0,0.3333333333333333
better,coreutils::O0::ls,getfilecon_cache,0.2,0.4
better,coreutils::O0::ls,gobble_file,0.6666666666666666,0.696969696969697
better,coreutils::O0::ls,hash_find_entry,0.0,0.1
better,coreutils::O0::ls,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::ls,main,0.4444444444444444,0.5555555555555556
better,coreutils::O0::ls,print_dir,0.42857142857142855,0.5714285714285714
better,coreutils::O0::ls,queue_directory,0.0,0.25
better,coreutils::O0::ls,quote_name,0.35714285714285715,0.42857142857142855
better,coreutils::O0::ls,quote_name_buf,0.8333333333333334,0.875
better,coreutils::O0::ls,signal_setup,0.25,0.5
better,coreutils::O0::ls,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::make-prime-list,main,0.7,0.8
better,coreutils::O0::mkdir,hash_find_entry,0.0,0.1
better,coreutils::O0::mkdir,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::mkdir,restorecon_private,0.38461538461538464,0.46153846153846156
better,coreutils::O0::mkdir,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::mkfifo,hash_find_entry,0.0,0.1
better,coreutils::O0::mkfifo,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::mkfifo,restorecon_private,0.38461538461538464,0.46153846153846156
better,coreutils::O0::mkfifo,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::mknod,hash_find_entry,0.0,0.1
better,coreutils::O0::mknod,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::mknod,restorecon_private,0.38461538461538464,0.46153846153846156
better,coreutils::O0::mknod,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::mktemp,mkdtemp_len,0.25,0.5
better,coreutils::O0::mktemp,mkstemp_len,0.25,0.5
better,coreutils::O0::mv,copy,0.2,0.3
better,coreutils::O0::mv,copy_dir,0.15,0.25
better,coreutils::O0::mv,copy_internal,0.49206349206349204,0.5714285714285714
better,coreutils::O0::mv,copy_reg,0.6,0.6857142857142857
better,coreutils::O0::mv,create_hole,0.6,0.8
better,coreutils::O0::mv,excise,0.16666666666666666,0.5
better,coreutils::O0::mv,follow_fstatat,0.42857142857142855,0.5714285714285714
better,coreutils::O0::mv,hash_find_entry,0.0,0.1
better,coreutils::O0::mv,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::mv,prompt,0.375,0.4375
better,coreutils::O0::mv,restorecon_private,0.38461538461538464,0.46153846153846156
better,coreutils::O0::mv,rm_fts,0.6363636363636364,0.7272727272727273
better,coreutils::O0::mv,same_file_ok,0.4375,0.8125
better,coreutils::O0::mv,set_file_security_ctx,0.4,0.6
better,coreutils::O0::mv,set_process_security_ctx,0.375,0.5
better,coreutils::O0::mv,should_dereference,0.0,0.5
better,coreutils::O0::mv,source_is_dst_backup,0.6363636363636364,0.7272727272727273
better,coreutils::O0::mv,sparse_copy,0.5833333333333334,0.625
better,coreutils::O0::mv,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::nohup,main,0.85,0.9
better,coreutils::O0::numfmt,process_line,0.4,0.8
better,coreutils::O0::paste,paste_serial,0.6666666666666666,0.8888888888888888
better,coreutils::O0::pathchk,validate_file_name,0.7391304347826086,0.8695652173913043
better,coreutils::O0::pinky,print_entry,0.38461538461538464,0.46153846153846156
better,coreutils::O0::pinky,print_long_entry,0.35714285714285715,0.42857142857142855
better,coreutils::O0::pinky,time_string,0.25,0.5
better,coreutils::O0::pr,init_header,0.5,0.6
better,coreutils::O0::printf,main,0.5,0.75
better,coreutils::O0::printf,print_esc,0.7142857142857143,0.8571428571428571
better,coreutils::O0::printf,print_formatted,0.6666666666666666,0.8
better,coreutils::O0::pwd,find_dir_entry,0.5,0.75
better,coreutils::O0::pwd,logical_getcwd,0.25,0.75
better,coreutils::O0::pwd,robust_getcwd,0.2,0.4
better,coreutils::O0::readlink,hash_find_entry,0.0,0.1
