slice,function,round_e,round_f,delta
coreutils::O0::dir,cmp_extension,0.1667,0.5,0.3333
coreutils::O0::dir,decode_switches,0.6875,0.8125,0.125
coreutils::O0::dir,extract_dirs_from_files,0.625,0.75,0.125
coreutils::O0::dir,file_escape,0.75,1.0,0.25
coreutils::O0::dir,file_failure,0.6667,1.0,0.3333
coreutils::O0::dir,is_colored,0.6667,1.0,0.3333
coreutils::O0::dir,known_term_type,0.5,1.0,0.5
coreutils::O0::dir,make_link_name,0.75,1.0,0.25
coreutils::O0::dir,parse_ls_color,0.2222,0.3333,0.1111
coreutils::O0::dir,print_dir,0.6429,0.7857,0.1429
coreutils::O0::dir,print_name_with_quoting,0.5,0.625,0.125
coreutils::O0::dir,push_current_dired_pos,0.5,1.0,0.5
coreutils::O0::dircolors,dc_parse_stream,0.9333,1.0,0.0667
coreutils::O0::dircolors,guess_shell_syntax,0.0,1.0,1.0
coreutils::O0::du,process_file,0.3529,0.4118,0.0588
coreutils::O0::env,build_argv,0.7778,0.8889,0.1111
coreutils::O0::env,list_signal_handling,0.4286,0.8571,0.4286
coreutils::O0::env,parse_block_signal_params,0.6667,0.8333,0.1667
coreutils::O0::env,parse_signal_action_params,0.7143,0.8571,0.1429
coreutils::O0::expand,parse_tab_stops,0.8889,1.0,0.1111
coreutils::O0::expr,docolon,0.2222,0.3333,0.1111
coreutils::O0::expr,eval6,0.3,0.4,0.1
coreutils::O0::expr,toarith,0.0,0.5,0.5
coreutils::O0::factor,lbuf_putc,0.6,0.8,0.2
coreutils::O0::fmt,check_punctuation,0.5,0.75,0.25
coreutils::O0::fmt,fmt,0.6667,1.0,0.3333
coreutils::O0::fmt,main,0.7778,1.0,0.2222
coreutils::O0::getlimits,decimal_absval_add_one,0.6,0.8,0.2
coreutils::O0::ginstall,abandon_move,0.1667,0.3333,0.1667
coreutils::O0::ginstall,announce_mkdir,0.3333,0.6667,0.3333
coreutils::O0::ginstall,change_timestamps,0.2,0.4,0.2
coreutils::O0::ginstall,copy,0.3,0.4,0.1
coreutils::O0::ginstall,copy_attr_quote,0.0,0.5,0.5
coreutils::O0::ginstall,copy_internal,0.6032,0.6508,0.0476
coreutils::O0::ginstall,create_hard_link,0.3636,0.6364,0.2727
coreutils::O0::ginstall,create_hole,0.8,1.0,0.2
coreutils::O0::ginstall,emit_verbose,0.0,1.0,1.0
coreutils::O0::ginstall,lseek_copy,0.7,0.8,0.1
coreutils::O0::ginstall,make_ancestor,0.6,0.8,0.2
coreutils::O0::ginstall,overwrite_ok,0.3333,0.5,0.1667
coreutils::O0::ginstall,same_file_ok,0.8125,0.875,0.0625
coreutils::O0::ginstall,set_owner,0.6471,0.7059,0.0588
coreutils::O0::ginstall,set_process_security_ctx,0.625,0.75,0.125
coreutils::O0::ginstall,source_is_dst_backup,0.7273,0.9091,0.1818
coreutils::O0::ginstall,sparse_copy,0.625,0.7083,0.0833
coreutils::O0::head,diagnose_copy_fd_failure,0.5,1.0,0.5
coreutils::O0::head,elide_tail_bytes_file,0.7778,0.8889,0.1111
coreutils::O0::head,elide_tail_bytes_pipe,0.8929,0.9286,0.0357
coreutils::O0::head,elide_tail_lines_file,0.6667,0.8333,0.1667
coreutils::O0::head,elide_tail_lines_pipe,0.5,0.625,0.125
coreutils::O0::head,elide_tail_lines_seekable,0.75,0.8333,0.0833
coreutils::O0::head,elseek,0.6667,0.8333,0.1667
coreutils::O0::head,head_bytes,0.3333,0.5,0.1667
coreutils::O0::head,head_lines,0.75,0.875,0.125
coreutils::O0::head,main,0.625,0.8125,0.1875
coreutils::O0::join,add_file_name,0.7,0.8,0.1
coreutils::O0::kill,print_table_row,0.8,1.0,0.2
coreutils::O0::libstdbuf,stdbuf,0.0,1.0,1.0
coreutils::O0::ln,convert_abs_rel,0.3333,0.8333,0.5
coreutils::O0::ls,abformat_init,0.5556,0.7778,0.2222
coreutils::O0::ls,align_nstrftime,0.5714,0.7143,0.1429
coreutils::O0::ls,basename_is_dot_or_dotdot,0.5,1.0,0.5
coreutils::O0::ls,cmp_extension,0.1667,0.5,0.3333
coreutils::O0::ls,decode_switches,0.6875,0.8125,0.125
coreutils::O0::ls,extract_dirs_from_files,0.625,0.75,0.125
coreutils::O0::ls,file_escape,0.75,1.0,0.25
