slice,function,round_f,round_g,delta
coreutils::O2::dir,dired_outbuf,0.5,1.0,0.5
coreutils::O2::dir,do_statx,0.1818,0.3636,0.1818
coreutils::O2::ginstall,defaultcon,0.1,0.3,0.2
coreutils::O2::ginstall,dir_name,0.0,0.5,0.5
coreutils::O2::ginstall,force_linkat,0.2727,0.5455,0.2727
coreutils::O2::ginstall,force_symlinkat,0.2222,0.4444,0.2222
coreutils::O2::ginstall,overwrite_ok,0.375,0.5,0.125
coreutils::O2::ginstall,restorecon_private,0.1333,0.2667,0.1333
coreutils::O2::ginstall,samedir_template,0.0,0.1,0.1
coreutils::O2::ginstall,set_process_security_ctx,0.2222,0.3333,0.1111
coreutils::O2::ginstall,try_link,0.0,0.3333,0.3333
coreutils::O2::ginstall,try_symlink,0.0,0.3333,0.3333
coreutils::O2::ln,dir_name,0.0,0.5,0.5
coreutils::O2::ln,force_linkat,0.2727,0.5455,0.2727
coreutils::O2::ln,force_symlinkat,0.2222,0.4444,0.2222
coreutils::O2::ln,samedir_template,0.0,0.1,0.1
coreutils::O2::ln,try_link,0.0,0.3333,0.3333
coreutils::O2::ln,try_symlink,0.0,0.3333,0.3333
coreutils::O2::ls,dired_outbuf,0.5,1.0,0.5
coreutils::O2::ls,do_statx,0.1818,0.3636,0.1818
coreutils::O2::mkdir,defaultcon,0.1,0.3,0.2
coreutils::O2::mkdir,dir_name,0.0,0.5,0.5
coreutils::O2::mkdir,main,0.2222,0.3333,0.1111
coreutils::O2::mkdir,restorecon_private,0.1333,0.2667,0.1333
coreutils::O2::mkfifo,defaultcon,0.1,0.3,0.2
coreutils::O2::mkfifo,dir_name,0.0,0.5,0.5
coreutils::O2::mkfifo,main,0.1818,0.2727,0.0909
coreutils::O2::mkfifo,restorecon_private,0.1333,0.2667,0.1333
coreutils::O2::mknod,defaultcon,0.1,0.3,0.2
coreutils::O2::mknod,dir_name,0.0,0.5,0.5
coreutils::O2::mknod,restorecon_private,0.1333,0.2667,0.1333
coreutils::O2::mv,defaultcon,0.1,0.3,0.2
coreutils::O2::mv,dir_name,0.0,0.5,0.5
coreutils::O2::mv,force_linkat,0.2727,0.5455,0.2727
coreutils::O2::mv,force_symlinkat,0.2222,0.4444,0.2222
coreutils::O2::mv,overwrite_ok,0.375,0.5,0.125
coreutils::O2::mv,restorecon_private,0.1333,0.2667,0.1333
coreutils::O2::mv,samedir_template,0.0,0.1,0.1
coreutils::O2::mv,set_process_security_ctx,0.2222,0.3333,0.1111
coreutils::O2::mv,try_link,0.0,0.3333,0.3333
coreutils::O2::mv,try_symlink,0.0,0.3333,0.3333
coreutils::O2::runcon,main,0.2941,0.3529,0.0588
coreutils::O2::shred,dir_name,0.0,0.5,0.5
coreutils::O2::sort,add_temp_dir,0.0,1.0,1.0
coreutils::O2::stat,dir_name,0.0,0.5,0.5
coreutils::O2::stdbuf,dir_name,0.0,0.5,0.5
coreutils::O2::stdbuf,main,0.2083,0.2917,0.0833
coreutils::O2::vdir,dired_outbuf,0.5,1.0,0.5
coreutils::O2::vdir,do_statx,0.1818,0.3636,0.1818
diffutils::O0::diff,option_list,0.6667,0.8333,0.1667
diffutils::O0::diff3,perror_with_exit,0.0,1.0,1.0
diffutils::O0::diff3,read_diff,0.8235,0.8824,0.0588
diffutils::O0::sdiff,edit,0.7391,0.7826,0.0435
diffutils::O0::sdiff,lf_snarf,0.3333,0.5,0.1667
diffutils::O2-noinline::diff,message,0.0,0.3333,0.3333
diffutils::O2-noinline::diff3,read_diff,0.375,0.4375,0.0625
diffutils::O2-noinline::sdiff,edit,0.4348,0.4783,0.0435
diffutils::O2::diff,message,0.0,0.3333,0.3333
diffutils::O2::diff3,process_diff,0.1143,0.1429,0.0286
diffutils::O2::sdiff,edit,0.4348,0.4783,0.0435
findutils::O0::find,do_fprintf,0.5263,0.5789,0.0526
