direction,slice,function,base,test
onto,tar::O0::tar,handle_file_selection_option,0.6666666666666666,1.0
onto,tar::O0::tar,set_stat_signal,0.0,1.0
onto,tar::O0::tar,xattrs_masked_out,0.5,1.0
onto,tar::O2-noinline::tar,unknown_file_error,0.0,1.0
onto,tar::O2-noinline::tar,exclusion_tag_warning,0.3333333333333333,1.0
onto,tar::O2-noinline::tar,dumpdir_create,0.0,1.0
onto,tar::O2-noinline::tar,off_from_header,0.5,1.0
onto,tar::O2-noinline::tar,uintmax_from_header,0.5,1.0
onto,tar::O2-noinline::tar,owner_map_read,0.0,1.0
onto,tar::O2-noinline::tar,group_map_read,0.0,1.0
onto,tar::O2-noinline::tar,quote_n_colon,0.5,1.0
onto,tar::O2-noinline::tar,xexec,0.5,1.0
onto,tar::O2-noinline::tar,set_stat_signal,0.0,1.0
onto,tar::O2-noinline::tar,xattrs_masked_out,0.5,1.0
onto,tar::O2::tar,unknown_file_error,0.0,1.0
onto,tar::O2::tar,owner_map_read,0.0,1.0
onto,tar::O2::tar,group_map_read,0.0,1.0
onto,tar::O2::tar,quote_n_colon,0.5,1.0
onto,tar::O2::tar,name_scan,0.0,1.0
onto,tar::O2::tar,xexec,0.5,1.0
better,coreutils::O0::basename,perform_basename,0.25,0.75
better,coreutils::O0::cat,main,0.6923076923076923,0.7307692307692307
better,coreutils::O0::chroot,parse_additional_groups,0.75,0.8333333333333334
better,coreutils::O0::chcon,change_file_context,0.75,0.875
better,coreutils::O0::chgrp,describe_change,0.2222222222222222,0.6666666666666666
better,coreutils::O0::chown,describe_change,0.2222222222222222,0.6666666666666666
better,coreutils::O0::dircolors,append_entry,0.09090909090909091,0.2727272727272727
better,bzip2::O2-noinline::bzip2,uncompress,0.034482758620689655,0.06896551724137931
better,bzip2::O2-noinline::bzip2,testf,0.09090909090909091,0.18181818181818182
better,coreutils::O0::df,decode_output_arg,0.5714285714285714,0.7142857142857143
better,coreutils::O0::df,get_dev,0.6,0.6666666666666666
better,coreutils::O0::df,get_entry,0.0,0.5
better,coreutils::O0::df,dir_name,0.0,0.5
better,coreutils::O0::expr,str_value,0.0,0.5
better,coreutils::O0::env,parse_split_string,0.625,0.75
better,coreutils::O0::env,parse_signal_action_params,0.5714285714285714,0.7142857142857143
better,coreutils::O0::env,parse_block_signal_params,0.5,0.6666666666666666
better,bzip2::O2::bzip2,testf,0.06666666666666667,0.13333333333333333
better,coreutils::O0::fmt,get_paragraph,0.3333333333333333,0.6666666666666666
better,bzip2::O0::bzip2,BZ2_bzWriteClose,0.2,0.8
better,bzip2::O0::bzip2,BZ2_blockSort,0.5454545454545454,0.6363636363636364
better,coreutils::O0::du,show_date,0.16666666666666666,0.3333333333333333
better,coreutils::O0::cp,do_copy,0.5,0.59375
better,coreutils::O0::cp,decode_preserve_arg,0.3333333333333333,0.4444444444444444
better,coreutils::O0::cp,copy_dir,0.25,0.3
better,coreutils::O0::cp,set_process_security_ctx,0.5,0.625
better,coreutils::O0::cp,set_file_security_ctx,0.6,0.8
better,coreutils::O0::cp,copy_reg,0.6857142857142857,0.7142857142857143
better,coreutils::O0::cp,create_hard_link,0.2727272727272727,0.36363636363636365
better,coreutils::O0::cp,copy_internal,0.5555555555555556,0.5873015873015873
better,coreutils::O0::cp,remember_copied,0.4,0.6
better,coreutils::O0::cp,computecon,0.4444444444444444,0.5555555555555556
better,coreutils::O0::cp,dir_name,0.0,0.5
better,coreutils::O0::dir,queue_directory,0.25,0.75
better,coreutils::O0::dir,print_dir,0.5714285714285714,0.6428571428571429
